City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mbandaka,CD,70.52,light rain,0.0487,18.2603,Guest House Epervier
12,Rikitea,PF,76.84,light rain,-23.1203,-134.9692,People ThankYou
18,Mount Isa,AU,78.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
23,Pacific Grove,US,75.54,clear sky,36.6177,-121.9166,Lovers Point Inn
27,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
29,Hauterive,FR,70.56,overcast clouds,46.0901,3.4459,Aletti Palace Hotel
37,Lompoc,US,84.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
39,Kapaa,US,75.18,heavy intensity rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
41,Atuona,PF,78.46,broken clouds,-9.8,-139.0333,Villa Enata
43,Makakilo City,US,77.32,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
44,Victoria,HK,80.96,overcast clouds,22.2855,114.1577,Mini Central
48,Puerto Ayora,EC,73.54,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
51,Sambava,MG,71.8,light rain,-14.2667,50.1667,Melrose
53,Koumac,NC,81.37,scattered clouds,-20.5667,164.2833,Le Monitel
57,Buraydah,SA,83.05,clear sky,26.326,43.975,Mövenpick Qassim
58,Shimoda,JP,73.11,few clouds,34.6667,138.95,Shimoda Tokyu Hotel
60,Lashio,MM,72.14,scattered clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
61,Sola,VU,81.81,clear sky,-13.8833,167.55,Leumerus Bungalows
62,Hasaki,JP,75.29,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
63,Marawi,PH,78.57,overcast clouds,7.9986,124.2928,Derogongan Residence
71,Massakory,TD,87.35,overcast clouds,12.996,15.7293,
74,Avera,US,80.11,clear sky,33.194,-82.5271,
75,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
76,Aquiraz,BR,78.89,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
78,Hithadhoo,MV,83.19,overcast clouds,-0.6,73.0833,Scoop Guest House
80,Dingle,PH,84.63,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
82,East London,ZA,76.26,clear sky,-33.0153,27.9116,Tu Casa
83,Rangia,IN,75.15,broken clouds,26.4667,91.6333,Kalita Tours & Travels - Trusted Travel Planner for Assam Meghalaya Arunachal Pradesh
85,Cockburn Town,TC,79.88,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
88,Bowen,AU,77.76,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
89,Karratha,AU,75.49,clear sky,-20.7377,116.8463,ibis Styles Karratha
92,Carnarvon,AU,70.27,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
96,Marsh Harbour,BS,78.91,clear sky,26.5412,-77.0636,Abaco Beach Resort
103,Gamba,GA,77.67,overcast clouds,-2.65,10.0,
104,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
120,Faanui,PF,80.2,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
121,Bara,NG,84.11,overcast clouds,10.3744,10.7288,
122,Seoul,KR,70.99,overcast clouds,37.5683,126.9778,롯데호텔 서울
125,Cabedelo,BR,75.87,few clouds,-6.9811,-34.8339,Hotel Pigalle
