City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mbandaka,CD,0.0487,18.2603,70.52,97,100,1.28,light rain
1,Kodiak,US,57.79,-152.4072,63.91,25,0,10.36,clear sky
2,Mirnyy,RU,62.5353,113.9611,55.24,81,61,13.0,broken clouds
3,Dikson,RU,73.5069,80.5464,30.85,95,97,15.28,overcast clouds
4,Aguimes,ES,27.9054,-15.4461,66.83,73,20,18.41,few clouds
5,Saint-Ambroise,CA,48.5501,-71.3324,44.89,75,7,2.91,clear sky
6,Aklavik,CA,68.2191,-135.0107,33.69,88,100,11.83,overcast clouds
7,Busselton,AU,-33.65,115.3333,64.31,79,72,7.7,broken clouds
8,Hilo,US,19.7297,-155.09,91.27,77,20,12.66,few clouds
9,Hermanus,ZA,-34.4187,19.2345,56.8,72,96,17.83,overcast clouds
10,Norman Wells,CA,65.282,-126.8329,39.13,96,100,7.34,light rain
11,Frome,GB,51.2283,-2.3221,55.99,96,82,4.5,broken clouds
12,Rikitea,PF,-23.1203,-134.9692,76.84,76,100,15.21,light rain
13,Sitka,US,57.0531,-135.33,57.09,44,0,4.61,clear sky
14,Klaksvik,FO,62.2266,-6.589,47.32,88,88,21.34,overcast clouds
15,Kaitangata,NZ,-46.2817,169.8464,55.44,65,100,9.37,overcast clouds
16,Bluff,NZ,-46.6,168.3333,52.81,66,21,22.1,few clouds
17,Muros,ES,42.7762,-9.0603,54.09,93,98,3.13,overcast clouds
18,Mount Isa,AU,-20.7333,139.5,78.57,44,2,10.36,clear sky
19,Beroroha,MG,-21.6667,45.1667,62.83,84,0,3.96,clear sky
20,Pacocha,PE,-17.5833,-71.3333,64.54,77,0,0.0,clear sky
21,Nikolskoye,RU,59.7035,30.7861,44.8,95,96,3.42,light rain
22,New Norfolk,AU,-42.7826,147.0587,55.92,66,100,5.01,overcast clouds
23,Pacific Grove,US,36.6177,-121.9166,75.54,66,0,10.0,clear sky
24,Sovetskiy,RU,61.3614,63.5842,44.13,90,100,5.44,overcast clouds
25,Clyde River,CA,70.4692,-68.5914,18.95,94,6,5.19,clear sky
26,Diego De Almagro,CL,-26.3667,-70.05,55.56,49,16,2.93,few clouds
27,Georgetown,MY,5.4112,100.3354,84.13,84,20,2.3,few clouds
28,Pangody,RU,65.85,74.4859,43.83,74,100,15.48,overcast clouds
29,Hauterive,FR,46.0901,3.4459,70.56,85,97,5.66,overcast clouds
30,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,86,0,5.75,clear sky
31,Moche,PE,-8.1711,-79.0092,64.58,82,20,9.22,fog
32,Nemuro,JP,43.3236,145.575,48.87,86,35,14.5,scattered clouds
33,Jamestown,US,42.097,-79.2353,51.39,92,100,9.22,light rain
34,Ushuaia,AR,-54.8,-68.3,40.66,81,75,0.0,broken clouds
35,Yellowknife,CA,62.456,-114.3525,51.57,23,0,15.99,clear sky
36,Tasiilaq,GL,65.6145,-37.6368,33.96,94,100,6.8,overcast clouds
37,Lompoc,US,34.6391,-120.4579,84.02,63,0,10.36,clear sky
38,Narsaq,GL,60.9167,-46.05,41.22,83,17,2.48,few clouds
39,Kapaa,US,22.0752,-159.319,75.18,94,100,21.85,heavy intensity rain
40,Barrow,US,71.2906,-156.7887,19.42,86,100,19.57,overcast clouds
41,Atuona,PF,-9.8,-139.0333,78.46,69,59,13.8,broken clouds
42,Chuy,UY,-33.6971,-53.4616,55.94,81,100,11.43,overcast clouds
43,Makakilo City,US,21.3469,-158.0858,77.32,83,100,11.5,light rain
44,Victoria,HK,22.2855,114.1577,80.96,61,98,8.01,overcast clouds
45,La Ronge,CA,55.1001,-105.2842,46.87,58,100,5.61,overcast clouds
46,Ilulissat,GL,69.2167,-51.1,30.22,86,6,0.0,clear sky
47,Eureka,US,40.8021,-124.1637,66.18,73,94,9.06,overcast clouds
48,Puerto Ayora,EC,-0.7393,-90.3518,73.54,96,99,5.86,overcast clouds
49,Torbay,CA,47.6666,-52.7314,48.88,86,63,9.13,broken clouds
50,Upernavik,GL,72.7868,-56.1549,19.99,97,7,7.02,clear sky
51,Sambava,MG,-14.2667,50.1667,71.8,78,99,11.52,light rain
52,Bilibino,RU,68.0546,166.4372,36.25,100,100,1.19,light rain
53,Koumac,NC,-20.5667,164.2833,81.37,67,29,5.61,scattered clouds
54,Viedma,AR,-40.8135,-62.9967,44.44,61,95,10.98,overcast clouds
55,Ponta Do Sol,PT,32.6667,-17.1,68.72,80,81,3.47,broken clouds
